Data di inserimento,Termine,Accento,Definizione,"Sinonimi (facoltativo, separa con ;)","Contrari (facoltativo, separa con ;)",Etimologia,Esempio 1,Esempio 2,Esempio 3,Frequenza d'uso,Linguaggio tecnico,Errori,APPRESO
,Abbacinato,abbacinàto,Accecato o confuso da una luce troppo intensa.,Abbagliato; accecato; confuso; stordito,-,"Derivato dal verbo italiano ""abbacinare"", formato su ""bacino"" (recipiente metallico) in riferimento a un antico supplizio che accecava avvicinando un bacino rovente agli occhi.",Fu abbacinato dal riflesso del sole sul mare.,Rimase abbacinato dalla bellezza del paesaggio innevato.,"Uscendo dal cinema, fu abbacinato dalla luce pomeridiana.",Bassa,Letterario,Nessuno,No
,Abbrivio,abbrìvio,Slancio iniziale che permette a un oggetto o a un'azione di proseguire con minore sforzo.,Slancio; impulso; spinta; avvio,Frenata; arresto; inerzia,"Derivato dal verbo ""abbrivare"" (dare spinta).",Il progetto ha avuto un buon abbrivio grazie al finanziamento iniziale.,La barca perse l'abbrivio e si fermò in mezzo al lago.,Bisogna sfruttare l'abbrivio positivo per concludere l'affare.,Media,Marinaro / Comune,Spesso scritto con una sola 'b' (abrivio),No
,Abiezione,abiezióne,"Degradazione morale, abbassamento della dignità personale.",Degradazione; viltà; infamia; bassezza,Dignità; onore; nobiltà; elevatezza,"Derivato dal latino ""abiectio"" (abbattimento, umiliazione).",Il suo gesto di abiezione sconvolse tutti.,Visse anni di totale abiezione morale prima di riscattarsi.,L'abiezione della povertà estrema era visibile in quel quartiere.,Bassa,Letterario,Nessuno,No
,Abiura,abiùra,Rinuncia solenne e giurata a una fede o dottrina (es. Galileo).,Rinuncia; ritrattazione; ripudio; negazione,Adesione; professione di fede; conferma,"Dal latino ""abiurare"".",Costretto all'abiura delle sue idee.,Fare pubblica abiura.,Atto di abiura.,Bassa,Storico,Nessuno,No
,Abruptamente,abruptaménte,In modo improvviso o brusco.,Improvvisamente; bruscamente; di colpo,Gradualmente; dolcemente; lentamente,"Derivato dal latino ""abruptus"", ""scosceso"".",L'incontro terminò abruptamente senza alcuna spiegazione.,La telefonata si interruppe abruptamente a causa del segnale.,"Cambiò discorso abruptamente, lasciandoci tutti perplessi.",Bassa,Letterario / Formale,"Uso come anglicismo al posto di ""bruscamente""",No
,Abulico,abùlico,Privo di volontà o di iniziativa.,Apatico; inerte; svogliato; passivo,Volenteroso; dinamico; energico; intraprendente,"Derivato dal greco ""a-"", privativo, e ""boulē"", che significa ""volontà"".",Lo stato abulico lo rendeva incapace di agire.,Il paziente appare abulico e disinteressato a tutto.,Mantenere un atteggiamento abulico non risolverà i tuoi problemi.,Media,Psicologia / Comune,Nessuno,No
,Accapponare,accapponàre,Provocare una sensazione di paura o brividi.,Far venire i brividi; rizzare (il pelo),-,"Derivato da 'cappone' (gallo castrato), in riferimento alla pelle granulosa del volatile spennato.",Il racconto dell’orrore era così vivido da accapponare la pelle.,Quel rumore metallico faceva accapponare la pelle.,È una vista da far accapponare la pelle.,Media,Comune,"Spesso scritto erroneamente ""acaponare"" o ""accaponare""",No
,Acchittare,acchittàre,"Aggiustare, sistemare; vestire con cura.",Sistemare; preparare; agghindare; (biliardo) posizionare,Trascurare; disordinare,"Di origine incerta, forse dal napoletano.","Prima di uscire, si acchittò con grande cura.",Ha acchittato la tavola a festa per gli ospiti.,"Nel biliardo, bisogna acchittare la palla sul punto giusto.",Bassa (Regionale),Gergo / Biliardo,Achittare (una sola c),No
,Acchittato,acchittàto,Sistemato o vestito con cura ed eleganza.,Ben vestito; elegante; agghindato; sistemato,Sciatto; trasandato; disordinato,"Derivato dal dialetto napoletano ""acchittare"".",Si era acchittato con grande attenzione per l’occasione.,Guarda come sta ben acchittato stasera!,Un negozio ben acchittato attira più clienti.,Bassa (Regionale),Gergo,Achittato (una sola c),No
,Accolito,accòlito,"Seguace o assistente, spesso in contesti religiosi o politici.",Seguace; assistente; discepolo; complice,Capo; leader; avversario; oppositore,"Derivato dal greco ""akolouthos"", che significa ""seguace"".",Gli accoliti del leader lo seguivano in ogni sua decisione.,Il ministro arrivò circondato dai suoi fedeli accoliti.,"Non è un leader, si comporta come un semplice accolito.",Bassa,Religioso / Politico,Nessuno,No
,Accondiscendenza,accondiscendènza,"Disponibilità ad accettare o a secondare i desideri altrui, senza opporsi.",Disponibilità; arrendevolezza; compiacenza; tolleranza,Intransigenza; rigidità; severità; opposizione,"Derivato di ""condiscendere"" dal latino ""condescendere"", composto da ""con-"" e ""descendere"", ""discendere insieme"".",L'accondiscendenza mostrata durante la riunione è stata apprezzata.,Trattava i suoi dipendenti con irritante accondiscendenza.,La sua eccessiva accondiscendenza è segno di debolezza.,Media,Comune,Acondiscendenza (una c),No
,Acerrimo,acérrimo,"Molto aspro, intenso; anche: nemico implacabile.",Implacabile; aspro; accanito; durissimo,Mite; conciliante; blando,"Superlativo di ""acer"".",Fu il suo acerrimo avversario in politica.,È un acerrimo difensore dei diritti degli animali.,La Juventus è l'acerrima rivale dell'Inter.,Alta,Comune,Acerissimo (superlativo errato),No
,Acosmismo,acosmìsmo,"Dottrina filosofica che nega la realtà del mondo esterno, considerandolo un'illusione.",-,-,"Derivato dal greco ""a-"" (negazione) e ""kosmos"" (mondo).",Le dottrine acosmiche hanno influenzato diverse correnti mistiche.,Spinoza è stato talvolta accusato di acosmismo.,L'acosmismo riduce il mondo sensibile a mera apparenza.,Molto bassa,Filosofia,Nessuno,No
,Acre,àcre,"Che ha sapore o odore pungente; in senso figurato, aspro, spiacevole.",Pungente; aspro; acido; mordace,Dolce; soave; delicato,"Derivato dal latino ""acer"" (aspro).",Un odore acre riempiva la stanza.,Le rispose con tono acre e risentito.,Il fumo acre dell'incendio si vedeva da lontano.,Media,Comune,Nessuno,No
,Acribia,acribìa,"Esattezza meticolosa, precisione scrupolosa (specie in ambito scientifico o filologico).",Meticolosità; scrupolosità; precisione; esattezza,Incuria; superficialità; approssimazione; sciatteria,"Derivato dal greco ""akribeia"" (esattezza).",Ha condotto la ricerca con estrema acribia.,L'acribia filologica è fondamentale per ricostruire il testo originale.,È noto per la sua acribia nel citare le fonti.,Bassa,Filologia / Scientifico,Accribia (doppia c),No
,Adamantino,adamantìno,"Puro, incontaminato; duro e resistente come il diamante.",Puro; incorruttibile; durissimo; fermo,Fragile; debole; impuro,"Derivato dal latino ""adamantinus"", dal greco ""adamas"" (diamante).",Vantava una reputazione adamantina.,La sua volontà adamantina non si piegò alle minacce.,Il cielo era di un colore limpido e adamantino.,Bassa,Letterario,Nessuno,No
,Adamitico,adamìtico,"Che si riferisce ad Adamo; nudo, primitivo, privo di vergogna.",Nudo; primitivo; naturale; spoglio,Vestito; coperto; civile,"Derivato dal nome biblico ""Adamo"".",Si aggirava per la spiaggia in tenuta adamitica.,Il quadro ritrae una scena di innocenza adamitica.,Vivevano in uno stato di natura quasi adamitico.,Bassa,Letterario / Religioso,Nessuno,No
,Addiaccio,addiàccio,Luogo all'aperto dove le greggi o le truppe passano la notte.,All'aperto; alla serena; al freddo,Al coperto; al riparo; al caldo,"Derivato dal latino ""ad-iacere"" (giacere presso).",I soldati furono costretti a dormire all'addiaccio.,Le pecore sono state portate all'addiaccio per la notte.,Non è prudente restare all'addiaccio con questo freddo.,Bassa,Pastorale / Militare,Adiaccio (una d),No
,Addotto,addótto,"Portato avanti, presentato (riferito a motivazioni o prove).",Portato; presentato; citato; avanzato,Omesso; taciuto; nascosto,"Participio passato del verbo ""addurre"".",Le scuse addotte non sono state accettate.,Gli argomenti addotti dalla difesa erano deboli.,Non ha addotto alcuna prova a suo favore.,Media,Burocratico / Formale,Adotto (scritto come il verbo adottare),No
,Addurre,addùrre,"Presentare, citare, portare a sostegno (argomenti, giustificazioni).",Portare; presentare; avanzare; citare,Tacere; nascondere; omettere,"Derivato dal latino ""adducere"" (condurre verso).",Devi addurre motivazioni valide per il ritardo.,Il testimone non seppe addurre prove convincenti.,È inutile addurre pretesti inesistenti.,Media,Burocratico / Formale,Adurre (una d),No
,Aduso,adùso,"Abituato, assuefatto a qualcosa.",Abituato; avvezzo; solito; assuefatto,Disabituato; insolito; inesperto,"Participio passato breve del verbo ""adusare"" (abituare, avvezzare), formato sul latino ""usus"" (uso) con prefisso intensivo ""ad-"".",Era un uomo aduso alle fatiche dei campi.,Non sono aduso a ricevere simili trattamenti.,"Essendo aduso al comando, non accettava repliche.",Bassa,Letterario,Nessuno,No
,Affabulatorio,affabulatòrio,Che riguarda la capacità di raccontare storie in modo avvincente e persuasivo.,Narrativo; incantatore; suggestivo; oratorio,-,"Derivato dal latino ""fabula"" (racconto).",Possiede un talento affabulatorio straordinario.,Il suo stile affabulatorio incantava il pubblico.,Ha usato le sue doti affabulatorie per convincere la giuria.,Bassa,Letterario / Teatro,Nessuno,No
,Affastellare,affastellàre,Ammucchiare disordinatamente cose o idee; confondere.,Ammucchiare; accatastare; confondere; accumulare,Ordinare; organizzare; separare; distinguere,"Derivato da ""fastello"" (fascio di legna).",Affastellare scuse non ti servirà a nulla.,Nella sua mente si affastellavano pensieri contrastanti.,Hanno affastellato i mobili in un angolo della stanza.,Bassa,Comune,Afastellare (una f),No
,Affettato,affettàto,"Privo di naturalezza, artificioso, ricercato in modo eccessivo.",Innaturale; artificioso; lezioso; ricercato,Naturale; spontaneo; semplice; schietto,"Participio passato di ""affettare"" (ostentare).",Aveva modi affettati che risultavano antipatici.,Parlava con un tono affettato e snob.,Il suo sorriso affettato nascondeva il disagio.,Media,Comune,Nessuno,No
,Afflato,afflàto,"Ispirazione profonda, soffio vitale (spesso spirituale o artistico).",Ispirazione; soffio; spirito; anelito,-,"Derivato dal latino ""afflatus"" (soffio).",Un'opera pervasa da un potente afflato religioso.,L'afflato poetico lo colse all'improvviso.,Si percepiva un afflato di libertà nel suo discorso.,Bassa,Letterario,Aflato (una f),No
,Aggrondare,aggrondàre,"Corrugare la fronte, accigliarsi in segno di preoccupazione o minaccia",Corrugare; accigliare; oscurare; annuvolarsi,Spianare; rasserenare; distendere,"Derivato da ""gronda"" (sporgenza del tetto).",Aggrondare le sopracciglia in segno di disapprovazione.,Il cielo si aggrondò minacciando pioggia.,Lo vidi aggrondare il viso per la preoccupazione.,Molto bassa,Letterario,Nessuno,No
,Agiografico,agiogràfico,"Relativo alla vita dei santi; per estensione, elogiativo in modo acritico ed esagerato.",Elogiativo; celebrativo; lusinghiero; idealizzato,Critico; denigratorio; obiettivo; realistico,"Derivato dal greco ""hagios"" (santo) e ""graphein"" (scrivere).",È una biografia dal tono smaccatamente agiografico.,La stampa ha fatto un ritratto agiografico del leader.,Bisogna evitare ricostruzioni storiche di stampo agiografico.,Bassa,Storico / Religioso,Nessuno,No
,Agnizione,agnizióne,Riconoscimento improvviso dell'identità di un personaggio (tipico della tragedia e commedia classica).,Riconoscimento; scoperta; rivelazione; identificazione,-,"Derivato dal latino ""agnitio"" (riconoscimento).",L'agnizione finale risolve l'intrigo della commedia.,La scena dell'agnizione tra madre e figlio è commovente.,Aristotele considerava l'agnizione un elemento chiave della tragedia.,Molto bassa,Teatro / Letteratura,Nessuno,No
,Agogica,agògica,"In musica, le variazioni di movimento e tempo (rallentando, accelerando) per fini espressivi.",Movimento; andamento; dinamica temporale,-,"Derivato dal greco ""agōgē"" (conduzione).",Le indicazioni agogiche sono scritte sullo spartito.,Il direttore d'orchestra ha una grande libertà agogica.,Sbagliare l'agogica può rovinare l'esecuzione del brano.,Bassa,Musica,Nessuno,No
,Alabastrino,alabastrìno,"Simile all'alabastro; bianco, liscio e traslucido.",Bianco; pallido; diafano; eburneo,Scuro; colorito; bruno,"Derivato da ""alabastro"" (tipo di roccia).",Aveva una carnagione pallida e alabastrina.,La luce alabastrina della luna filtrava dalla finestra.,Mani alabastrine e delicate.,Bassa,Letterario,Nessuno,No
,Alacrità,alacrità,"Solerzia, prontezza e vivacità nell'agire.",Solerzia; prontezza; zelo; vivacità,Lentezza; pigrizia; ignavia; indolenza,"Derivato dal latino ""alacritas"" (vivacità).",Si mise al lavoro con grande alacrità.,Rispose alla chiamata con alacrità e cortesia.,L'alacrità dei soccorritori fu determinante.,Bassa,Formale,Nessuno,No
,Albori,albòri,"Gli inizi, i primordi di un'epoca o di un fenomeno (spesso usato al plurale).",Inizi; origini; primordi; principio,Fine; tramonto; conclusione; decadenza,"Plurale di ""albore"" (luce dell'alba).",Agli albori della civiltà umana.,È una tecnologia ancora ai suoi albori.,Ricordo gli albori della sua carriera politica.,Media,Letterario / Storico,Nessuno,No
,Alea,àlea,"Rischio, sorte, elemento di incertezza (specie giuridica o economica).",Rischio; incertezza; sorte; caso,Certezza; sicurezza,"Dal latino ""alea"" (dado, gioco d'azzardo).",L'alea del contratto è a carico dell'assicuratore.,Bisogna calcolare l'alea prima di investire.,Non c'è vittoria senza una certa dose di alea.,Bassa,Giuridico / Economico,Nessuno,No
,Allegoria,allegorìa,Figura retorica in cui un concetto astratto viene espresso attraverso un'immagine concreta.,Simbolo; metafora; immagine figurata,Letteralità; realtà,"Derivato dal greco ""allegoria"" (parlare diversamente).",La statua è un'allegoria della Giustizia.,La Divina Commedia è ricca di significati allegorici.,Il leone è spesso allegoria di forza e coraggio.,Media,Letteratura / Arte,Alegoria (una l),No
,Alterco,altèrco,Litigio verbale acceso e violento.,Litigio; disputa; bisticcio; discussione,Accordo; pace; intesa; concordia,"Derivato dal latino ""altercatio"".",L'alterco è degenerato in una rissa.,Ebbe un violento alterco con il vicino di casa.,L'arbitro intervenne per sedare l'alterco tra i giocatori.,Bassa,Formale,Nessuno,No
,Alterigia,alterìgia,"Superbia ostentata, arroganza sprezzante.",Superbia; arroganza; boria; presunzione,Umiltà; modestia; semplicità,"Derivato dal latino ""altus"" (alto), inteso come ""mira in alto"".",Lo guardò con insopportabile alterigia.,La sua alterigia gli ha alienato molti amici.,Rispose con l'alterigia tipica dei nobili di un tempo.,Bassa,Letterario,Nessuno,No
,Ambage,ambàge,"Giro di parole, discorso tortuoso e poco chiaro.",Giri di parole; circonlocuzioni; lungaggini; tortuosità,Chiarezza; concisione; sintesi; schiettezza,"Derivato dal latino ""ambages"" (giravolte).","Parla chiaro, senza tante ambagi!",Si perse in inutili ambagi prima di arrivare al punto.,"Dopo molte ambagi, confessò la verità.",Bassa,Letterario,Nessuno,No
,Ambasce,ambàsce,"Affanni, angosce, difficoltà respiratorie o morali (usato prevalentemente al plurale).",Angosce; affanni; tormenti; pene,Gioie; sollievi; serenità,"Di origine incerta, forse germanica o latina.",Era in preda alle ambasce dell'attesa.,Sospirava per le ambasce d'amore.,Le ambasce economiche lo tormentavano.,Molto bassa,Letterario / Arcaico,Nessuno,No
,Ammaliare,ammaliàre,"Affascinare in modo seducente, incantare (come per una malìa).",Incantare; affascinare; sedurre; stregare,Disgustare; respingere; disincantare,"Derivato da ""malìa"" (incantesimo).",Sapeva ammaliare il pubblico con la sua voce.,Rimase ammaliato dalla bellezza del luogo.,Ulisse temeva di essere ammaliato dalle sirene.,Media,Comune,Amaliare (una m),No
,Ammantare,ammantàre,"Coprire con un manto; in senso figurato, nascondere o rivestire (spesso per abbellire).",Coprire; avvolgere; rivestire; celare,Scoprire; svelare; denudare,"Derivato da ""manto"".",La neve ha ammantato le cime delle montagne.,Cercava di ammantare di nobiltà le sue vere intenzioni.,Il bosco era ammantato di nebbia.,Bassa,Letterario,Amantare (una m),No
,Ampia,àmpia,"Vasta, estesa nello spazio o nel significato (femminile di Ampio).",Vasta; estesa; larga; spaziosa,Stretta; angusta; limitata; piccola,"Derivato dal latino ""amplus"".",La sala offre un'ampia veduta sul mare.,Ha dato un'ampia dimostrazione delle sue capacità.,È una questione di ampia portata.,Alta,Comune,Nessuno,No
,Ampolloso,ampollóso,"Gonfio, ridondante, eccessivamente retorico (riferito allo stile o al linguaggio).",Retorico; ridondante; pomposo; enfatico,Semplice; asciutto; conciso; sobrio,"Derivato dal latino ""ampulla"" (fiaschetta, vaso).",Scrive in uno stile ampolloso e difficile da leggere.,Fece un discorso ampolloso e vuoto di contenuti.,Detesto il linguaggio ampolloso dei burocrati.,Bassa,Letterario,Nessuno,No
,Amuleto,amuléto,Oggetto che si porta addosso perché si crede preservi da sventure o malattie.,Portafortuna; talismano; feticcio,Jella; iettatura,"Derivato dal latino ""amuletum"".",Portava sempre un amuleto contro il malocchio.,Trovò un antico amuleto egizio nello scavo.,Considerava quella moneta il suo amuleto portafortuna.,Media,Comune,Nessuno,No
